,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3 hrs),Snow inches (last 3 hrs)
0,Tasiilaq,GL,2020-04-19 18:25:11,65.61,-37.64,33.8,69,99,16.11,light snow,0.0,0.43
1,Port Alfred,ZA,2020-04-19 18:20:38,-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.43
2,Kavieng,PG,2020-04-19 18:21:21,-2.57,150.8,83.61,71,23,4.18,few clouds,0.0,0.43
3,Iqaluit,CA,2020-04-19 18:22:11,63.75,-68.51,1.4,70,5,3.36,clear sky,0.0,0.43
4,Saint George,US,2020-04-19 18:24:58,37.1,-113.58,66.99,42,1,3.36,clear sky,0.0,0.43
5,Severo-Kurilsk,RU,2020-04-19 18:21:05,50.68,156.12,26.42,90,9,14.27,clear sky,0.0,0.43
6,Hirara,JP,2020-04-19 18:26:27,24.8,125.28,75.16,90,59,17.69,light rain,0.76,0.43
7,Esil,KZ,2020-04-19 18:26:28,51.96,66.4,53.2,66,88,0.69,overcast clouds,0.0,0.43
8,Keuruu,FI,2020-04-19 18:26:28,62.27,24.7,44.6,56,88,8.05,overcast clouds,0.0,0.43
9,Yellowknife,CA,2020-04-19 18:24:42,62.46,-114.35,23.0,62,20,14.99,few clouds,0.0,0.43
10,Port Macquarie,AU,2020-04-19 18:23:42,-31.43,152.92,55.99,97,10,5.79,clear sky,0.0,0.43
11,Atuona,PF,2020-04-19 18:20:27,-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.43
12,Busselton,AU,2020-04-19 18:23:28,-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.43
13,Ilulissat,GL,2020-04-19 18:22:47,69.22,-51.1,26.6,53,52,20.8,broken clouds,0.0,0.43
14,Zhuhai,CN,2020-04-19 18:26:29,22.28,113.57,77.0,88,40,6.93,scattered clouds,0.0,0.43
15,Rawson,AR,2020-04-19 18:20:52,-43.3,-65.1,65.41,28,91,19.33,overcast clouds,0.0,0.43
16,Hofn,IS,2020-04-19 18:21:46,64.25,-15.21,44.42,85,100,7.54,overcast clouds,0.0,0.43
17,Magaria,NE,2020-04-19 18:26:30,13.0,8.91,83.14,12,49,3.0,scattered clouds,0.0,0.43
18,Tuktoyaktuk,CA,2020-04-19 18:23:02,69.45,-133.04,6.8,84,90,14.99,light snow,0.0,0.43
19,Minab,IR,2020-04-19 18:24:33,27.15,57.08,75.2,83,100,2.24,overcast clouds,0.0,0.43
20,Clyde River,CA,2020-04-19 18:25:24,70.47,-68.59,6.8,65,20,19.46,few clouds,0.0,0.43
21,Mataura,NZ,2020-04-19 18:21:54,-46.19,168.86,44.01,82,93,5.01,light rain,0.54,0.43
22,Bambous Virieux,MU,2020-04-19 18:22:06,-20.34,57.76,77.0,83,75,9.17,broken clouds,0.0,0.43
23,Barrow,US,2020-04-19 18:25:27,71.29,-156.79,10.4,85,90,3.36,light snow,0.0,0.43
24,Mountain Home,US,2020-04-19 18:24:21,43.13,-115.69,60.8,36,1,13.87,clear sky,0.0,0.43
25,Cape Town,ZA,2020-04-19 18:25:04,-33.93,18.42,64.0,93,75,19.46,broken clouds,0.0,0.43
26,Tiksi,RU,2020-04-19 18:25:17,71.69,128.87,10.02,86,86,6.93,overcast clouds,0.0,0.43
27,Hermanus,ZA,2020-04-19 18:24:43,-34.42,19.23,62.01,92,59,13.29,broken clouds,0.0,0.43
28,Albany,US,2020-04-19 18:22:17,42.6,-73.97,64.0,23,1,1.01,clear sky,0.0,0.43
29,Provideniya,RU,2020-04-19 18:22:31,64.38,-173.3,18.32,94,98,15.28,light snow,0.0,0.43
30,Tarakan,ID,2020-04-19 18:25:05,3.3,117.63,77.67,84,81,5.37,broken clouds,0.0,0.43
31,Klaksvik,FO,2020-04-19 18:22:54,62.23,-6.59,46.4,81,0,10.29,clear sky,0.0,0.43
32,Rikitea,PF,2020-04-19 18:24:45,-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.43
33,Port Lincoln,AU,2020-04-19 18:26:33,-34.73,135.87,63.25,74,100,21.52,light rain,0.13,0.43
34,Punta Arenas,CL,2020-04-19 18:20:38,-53.15,-70.92,44.6,65,40,39.15,scattered clouds,0.0,0.43
35,Traverse City,US,2020-04-19 18:23:15,44.76,-85.62,42.01,55,75,12.75,broken clouds,0.0,0.43
36,Ushuaia,AR,2020-04-19 18:20:19,-54.8,-68.3,44.6,75,40,19.46,scattered clouds,0.0,0.43
37,Saint-Philippe,RE,2020-04-19 18:24:53,-21.36,55.77,77.0,78,14,18.34,light rain,0.24,0.43
38,Kaitangata,NZ,2020-04-19 18:22:32,-46.28,169.85,50.0,52,74,11.01,broken clouds,0.0,0.43
39,Kambove,CD,2020-04-19 18:26:34,-10.88,26.6,62.22,66,8,5.64,light rain,0.48,0.43
40,Usinsk,RU,2020-04-19 18:26:35,65.99,57.53,31.42,98,100,2.06,overcast clouds,0.0,0.43
41,Carnarvon,AU,2020-04-19 18:21:57,-24.87,113.63,73.4,78,38,12.75,scattered clouds,0.0,0.43
42,Pontivy,FR,2020-04-19 18:26:35,48.0,-3.0,57.99,93,75,10.29,light rain,0.0,0.43
43,Thompson,CA,2020-04-19 18:25:33,55.74,-97.86,21.2,79,90,8.05,light snow,0.0,0.43
44,Georgetown,MY,2020-04-19 18:25:33,5.41,100.34,82.4,94,20,3.36,few clouds,0.0,0.43
45,Cayenne,GF,2020-04-19 18:25:36,4.93,-52.33,84.2,74,97,2.24,moderate rain,4.38,0.43
46,Mahebourg,MU,2020-04-19 18:23:47,-20.41,57.7,77.0,83,75,9.17,broken clouds,0.0,0.43
47,Havelock,US,2020-04-19 18:22:02,34.88,-76.9,71.6,60,90,16.11,overcast clouds,0.0,0.43
48,East London,ZA,2020-04-19 18:22:41,-33.02,27.91,77.58,64,8,18.14,clear sky,0.0,0.43
49,Vaini,TO,2020-04-19 18:22:17,-21.2,-175.2,77.0,83,40,9.17,scattered clouds,0.0,0.43
50,Taybad,IR,2020-04-19 18:26:37,34.74,60.78,63.64,33,12,6.67,few clouds,0.0,0.43
51,Constitucion,CL,2020-04-19 18:22:47,-35.33,-72.42,68.11,41,57,17.36,broken clouds,0.0,0.43
52,Chuy,UY,2020-04-19 18:25:59,-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.43
53,Deputatskiy,RU,2020-04-19 18:25:39,69.3,139.9,0.54,86,98,5.55,overcast clouds,0.0,0.43
54,Ola,RU,2020-04-19 18:26:38,59.58,151.28,-1.66,81,0,7.87,clear sky,0.0,0.43
55,Ahtopol,BG,2020-04-19 18:26:38,42.1,27.95,59.0,67,84,4.7,broken clouds,0.0,0.43
56,Padang,ID,2020-04-19 18:25:23,-0.95,100.35,78.48,77,86,3.42,light rain,0.95,0.43
57,Riverton,US,2020-04-19 18:23:51,40.52,-111.94,57.99,66,75,17.22,light rain,0.0,0.43
58,Kodiak,US,2020-04-19 18:22:36,57.79,-152.41,44.6,81,75,5.82,broken clouds,0.0,0.43
59,Snasa,NO,2020-04-19 18:26:39,64.25,12.38,44.6,75,75,6.93,broken clouds,0.0,0.43
60,Zyryanka,RU,2020-04-19 18:25:48,65.75,150.85,-7.58,86,24,8.05,few clouds,0.0,0.43
61,Sorland,NO,2020-04-19 18:26:39,67.67,12.69,42.8,87,75,13.87,broken clouds,0.0,0.43
62,Esperance,AU,2020-04-19 18:22:39,-33.87,121.9,51.8,93,6,6.93,clear sky,0.0,0.43
63,Ponta Do Sol,PT,2020-04-19 18:26:40,32.67,-17.1,66.99,41,24,1.99,few clouds,0.0,0.43
64,Puerto Ayora,EC,2020-04-19 18:21:56,-0.74,-90.35,86.0,70,40,13.87,shower rain,0.0,0.43
65,Kapaa,US,2020-04-19 18:21:52,22.08,-159.32,75.2,83,75,5.82,broken clouds,0.0,0.43
66,Ponta Delgada,PT,2020-04-19 18:26:40,37.73,-25.67,60.8,72,40,32.21,scattered clouds,0.0,0.43
67,Jurado,CO,2020-04-19 18:26:41,7.11,-77.76,83.35,74,74,2.26,moderate rain,3.3,0.43
68,Jamestown,US,2020-04-19 18:25:40,42.1,-79.24,55.4,47,75,20.8,broken clouds,0.0,0.43
69,Quthing,LS,2020-04-19 18:26:41,-30.4,27.7,58.73,36,6,1.16,clear sky,0.0,0.43
70,Raudeberg,NO,2020-04-19 18:26:43,61.99,5.14,48.2,66,0,12.75,clear sky,0.0,0.43
71,Dhidhdhoo,MV,2020-04-19 18:26:43,6.88,73.1,86.79,71,35,8.21,scattered clouds,0.0,0.43
72,Yabrud,SY,2020-04-19 18:26:44,33.97,36.66,66.2,45,62,8.05,broken clouds,0.0,0.43
73,Hilo,US,2020-04-19 18:25:00,19.73,-155.09,75.2,64,1,4.7,clear sky,0.0,0.43
74,San Patricio,MX,2020-04-19 18:26:44,19.22,-104.7,78.8,69,5,11.41,clear sky,0.0,0.43
75,Sitka,US,2020-04-19 18:26:44,57.05,-135.33,42.8,93,90,2.21,mist,0.0,0.43
76,Coihaique,CL,2020-04-19 18:26:45,-45.58,-72.07,44.6,87,90,8.14,light rain,0.0,0.43
77,Abalak,RU,2020-04-19 18:26:45,58.13,68.59,39.6,74,16,4.94,few clouds,0.0,0.43
78,Carutapera,BR,2020-04-19 18:26:45,-1.2,-46.02,83.35,77,92,6.82,light rain,2.61,0.43
79,Mar Del Plata,AR,2020-04-19 18:20:17,-38.0,-57.56,77.0,57,2,16.11,clear sky,0.0,0.43
80,Fatehpur,IN,2020-04-19 18:26:46,25.93,80.8,88.88,17,94,7.54,overcast clouds,0.0,0.43
81,Rorvik,NO,2020-04-19 18:25:56,64.86,11.24,44.6,93,75,4.7,shower rain,0.0,0.43
82,Teruel,ES,2020-04-19 18:26:46,40.67,-0.67,60.8,93,97,2.24,moderate rain,3.98,0.43
83,Yining,CN,2020-04-19 18:22:07,29.04,114.56,55.74,79,1,0.11,clear sky,0.0,0.43
84,Lebu,CL,2020-04-19 18:22:42,-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.43
85,Hobart,AU,2020-04-19 18:20:19,-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.43
86,Qaanaaq,GL,2020-04-19 18:24:52,77.48,-69.36,17.53,89,68,8.03,broken clouds,0.0,0.43
87,Sonoita,MX,2020-04-19 18:26:49,31.85,-112.83,75.0,27,10,4.12,clear sky,0.0,0.43
88,Narsaq,GL,2020-04-19 18:22:08,60.92,-46.05,32.0,87,20,4.7,few clouds,0.0,0.43
89,Muros,ES,2020-04-19 18:22:50,42.78,-9.06,61.0,79,30,1.01,scattered clouds,0.0,0.43
90,Jiayuguan,CN,2020-04-19 18:26:49,39.82,98.3,42.17,25,83,10.85,broken clouds,0.0,0.43
91,Airai,TL,2020-04-19 18:25:30,-8.93,125.41,60.22,61,15,2.1,few clouds,0.0,0.43
92,Hostotipaquillo,MX,2020-04-19 18:26:50,21.07,-104.07,88.0,28,1,5.14,clear sky,0.0,0.43
93,Warora,IN,2020-04-19 18:26:50,20.23,79.0,91.9,24,90,7.2,light rain,0.2,0.43
94,Dayong,CN,2020-04-19 18:26:50,25.02,118.29,71.6,94,75,6.71,mist,0.0,0.43
95,Kiama,AU,2020-04-19 18:22:54,-34.68,150.87,57.2,87,54,5.82,light rain,0.0,0.43
96,Victoria,HK,2020-04-19 18:25:48,22.29,114.16,77.0,83,45,4.0,scattered clouds,0.0,0.43
97,Khatanga,RU,2020-04-19 18:26:51,71.97,102.5,17.4,94,38,4.81,scattered clouds,0.0,0.43
98,West Wendover,US,2020-04-19 18:26:51,40.74,-114.07,53.6,46,90,4.85,overcast clouds,0.0,0.43
99,Paamiut,GL,2020-04-19 18:26:51,61.99,-49.67,30.72,89,44,18.86,scattered clouds,0.0,0.43
100,Hasaki,JP,2020-04-19 18:20:44,35.73,140.83,48.2,87,75,12.75,broken clouds,0.0,0.43
101,Pisco,PE,2020-04-19 18:23:40,-13.7,-76.22,75.2,64,9,9.17,clear sky,0.0,0.43
102,Brae,GB,2020-04-19 18:23:30,60.4,-1.35,50.0,76,0,11.41,clear sky,0.0,0.43
103,Govindgarh,IN,2020-04-19 18:26:52,27.5,76.98,83.53,20,6,7.05,clear sky,0.0,0.43
104,Teguldet,RU,2020-04-19 18:26:53,57.31,88.17,38.95,65,39,9.91,scattered clouds,0.0,0.43
105,Nanortalik,GL,2020-04-19 18:25:30,60.14,-45.24,30.18,89,14,15.79,few clouds,0.0,0.43
106,Grand Forks,US,2020-04-19 18:26:54,47.93,-97.03,42.8,44,75,13.87,broken clouds,0.0,0.43
107,Saint-Francois,FR,2020-04-19 18:26:54,46.42,3.91,61.0,82,100,2.24,light rain,0.0,0.43
108,Severo-Yeniseyskiy,RU,2020-04-19 18:26:55,60.37,93.04,26.1,90,0,6.13,clear sky,0.0,0.43
109,Sioux Lookout,CA,2020-04-19 18:22:35,50.1,-91.92,30.2,30,20,3.36,few clouds,0.0,0.43
110,Zyryanovsk,KZ,2020-04-19 18:26:55,49.74,84.27,42.37,52,0,3.89,clear sky,0.0,0.43
111,La Ligua,CL,2020-04-19 18:26:55,-32.45,-71.23,71.6,68,16,14.99,few clouds,0.0,0.43
112,Waw,SS,2020-04-19 18:26:56,7.7,28.0,86.67,22,91,3.11,overcast clouds,0.0,0.43
113,Port Blair,IN,2020-04-19 18:26:56,11.67,92.75,83.88,76,5,8.19,clear sky,0.0,0.43
114,Cidreira,BR,2020-04-19 18:24:44,-30.18,-50.21,72.5,65,0,14.12,clear sky,0.0,0.43
115,Nsanje,MW,2020-04-19 18:26:56,-16.92,35.26,73.65,76,29,7.94,light rain,0.12,0.43
116,Port Moresby,PG,2020-04-19 18:26:57,-9.44,147.18,75.2,100,40,3.36,scattered clouds,0.0,0.43
117,Salalah,OM,2020-04-19 18:26:57,17.02,54.09,82.4,69,20,6.93,few clouds,0.0,0.43
118,Dzhebariki-Khaya,RU,2020-04-19 18:26:57,62.22,135.8,-2.29,88,0,1.1,clear sky,0.0,0.43
119,Marfino,RU,2020-04-19 18:26:57,55.7,37.38,43.0,73,40,2.24,scattered clouds,0.0,0.43
120,Plettenberg Bay,ZA,2020-04-19 18:26:57,-34.05,23.37,69.1,56,81,4.59,broken clouds,0.0,0.43
121,Norman Wells,CA,2020-04-19 18:26:58,65.28,-126.83,24.8,79,75,14.99,broken clouds,0.0,0.43
122,Columbus,US,2020-04-19 18:24:29,39.96,-83.0,57.99,47,90,11.41,overcast clouds,0.0,0.43
123,Sarande,AL,2020-04-19 18:26:58,39.88,20.01,64.4,72,93,4.7,overcast clouds,0.0,0.43
124,Nichinan,JP,2020-04-19 18:26:59,31.6,131.37,64.4,88,75,17.22,broken clouds,0.0,0.43
125,Puro,PH,2020-04-19 18:26:59,12.48,123.38,81.48,80,95,10.49,overcast clouds,0.0,0.43
126,Eganville,CA,2020-04-19 18:26:59,45.53,-77.1,51.8,53,90,8.05,overcast clouds,0.0,0.43
127,Willowmore,ZA,2020-04-19 18:26:59,-33.29,23.49,75.85,15,89,6.91,overcast clouds,0.0,0.43
128,Saint-Joseph,RE,2020-04-19 18:22:38,-21.37,55.62,77.0,78,17,18.34,light rain,0.19,0.43
129,Saskylakh,RU,2020-04-19 18:21:53,71.92,114.08,15.55,93,0,7.4,clear sky,0.0,0.43
130,Gogrial,SS,2020-04-19 18:27:00,8.53,28.1,90.72,11,100,0.89,overcast clouds,0.0,0.43
131,Bredasdorp,ZA,2020-04-19 18:25:10,-34.53,20.04,61.0,87,4,2.24,clear sky,0.0,0.43
132,Linjiang,CN,2020-04-19 18:27:01,41.81,126.91,44.62,65,100,4.0,light rain,0.12,0.43
133,Moshkovo,RU,2020-04-19 18:26:43,55.31,83.61,44.6,52,94,4.47,overcast clouds,0.0,0.43
134,Singkawang,ID,2020-04-19 18:27:01,0.9,109.0,78.12,85,82,2.95,broken clouds,0.0,0.43
135,Nikolskoye,RU,2020-04-19 18:22:15,59.7,30.79,39.99,86,75,6.71,broken clouds,0.0,0.43
136,Luderitz,NA,2020-04-19 18:22:16,-26.65,15.16,64.4,77,0,8.05,clear sky,0.0,0.43
137,Lasa,IT,2020-04-19 18:27:02,46.62,10.7,55.4,62,75,2.26,broken clouds,0.0,0.43
138,Pahrump,US,2020-04-19 18:27:03,36.21,-115.98,63.99,34,27,7.74,scattered clouds,0.0,0.43
139,Guangyuan,CN,2020-04-19 18:27:03,32.44,105.82,51.01,83,100,3.58,light rain,0.22,0.43
140,Zaraza,VE,2020-04-19 18:27:03,9.35,-65.32,100.29,29,81,2.1,broken clouds,0.0,0.43
141,Longyearbyen,SJ,2020-04-19 18:21:57,78.22,15.64,35.6,69,40,19.46,shower rain,0.0,0.43
142,Aklavik,CA,2020-04-19 18:22:03,68.22,-135.01,19.4,44,75,3.36,broken clouds,0.0,0.43
143,Nazarovo,RU,2020-04-19 18:22:35,56.01,90.39,37.9,64,2,11.88,clear sky,0.0,0.43
144,Husavik,IS,2020-04-19 18:27:04,66.04,-17.34,48.2,70,20,16.11,few clouds,0.0,0.43
145,Faya,SA,2020-04-19 18:27:05,18.39,42.45,66.2,82,98,4.52,light rain,0.43,0.43
146,Phan Thiet,VN,2020-04-19 18:27:05,10.93,108.1,77.32,82,12,4.47,few clouds,0.0,0.43
147,Adrar,MR,2020-04-19 18:27:05,20.5,-10.07,83.43,14,0,10.6,clear sky,0.0,0.43
148,Lorengau,PG,2020-04-19 18:27:05,-2.02,147.27,82.11,78,30,5.06,scattered clouds,0.0,0.43
149,Srikakulam,IN,2020-04-19 18:25:16,18.3,83.9,81.54,66,100,2.39,overcast clouds,0.0,0.43
150,Bethel,US,2020-04-19 18:24:26,41.37,-73.41,60.01,43,1,16.11,clear sky,0.0,0.43
151,Hervey Bay,AU,2020-04-19 18:27:06,-25.3,152.85,68.0,100,40,4.7,scattered clouds,0.0,0.43
152,Halifax,CA,2020-04-19 18:25:43,44.65,-63.57,51.01,21,43,5.99,scattered clouds,0.0,0.43
153,Ekhabi,RU,2020-04-19 18:27:06,53.51,142.97,28.8,98,100,14.36,light snow,0.0,0.8
154,Jalu,LY,2020-04-19 18:22:27,29.03,21.55,76.48,19,9,7.07,clear sky,0.0,0.8
155,Namibe,AO,2020-04-19 18:22:51,-15.2,12.15,76.14,62,2,14.14,light rain,0.21,0.8
156,Islamabad,PK,2020-04-19 18:23:27,33.71,73.13,66.99,88,40,6.93,scattered clouds,0.0,0.8
157,Beohari,IN,2020-04-19 18:27:07,24.05,81.38,83.48,17,98,5.12,overcast clouds,0.0,0.8
158,Meulaboh,ID,2020-04-19 18:27:08,4.14,96.13,80.02,82,90,3.65,light rain,1.55,0.8
159,Stornoway,GB,2020-04-19 18:27:08,58.21,-6.39,55.0,71,0,4.7,clear sky,0.0,0.8
160,Prince George,CA,2020-04-19 18:27:08,53.92,-122.75,53.6,50,1,9.17,clear sky,0.0,0.8
161,Grindavik,IS,2020-04-19 18:25:39,63.84,-22.43,48.2,100,90,28.86,light intensity drizzle,0.0,0.8
162,Juneau,US,2020-04-19 18:27:09,58.3,-134.42,48.2,66,40,1.36,scattered clouds,0.0,0.8
163,Castro,BR,2020-04-19 18:24:42,-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.8
164,Bokino,RU,2020-04-19 18:27:09,52.64,41.46,42.04,65,98,3.06,light rain,0.12,0.8
165,Coquimbo,CL,2020-04-19 18:25:54,-29.95,-71.34,62.6,82,75,12.75,broken clouds,0.0,0.8
166,Saldanha,ZA,2020-04-19 18:22:15,-33.01,17.94,60.8,82,0,12.75,clear sky,0.0,0.8
167,Kahului,US,2020-04-19 18:24:56,20.89,-156.47,73.4,69,20,5.5,few clouds,0.0,0.8
168,Vana-Vigala,EE,2020-04-19 18:27:10,58.78,24.25,41.0,63,60,5.99,broken clouds,0.0,0.8
169,Mehamn,NO,2020-04-19 18:27:10,71.04,27.85,39.2,86,75,28.86,shower rain,0.0,0.8
170,Yulara,AU,2020-04-19 18:22:21,-25.24,130.99,80.6,30,40,2.24,scattered clouds,0.0,0.8
171,Angoram,PG,2020-04-19 18:27:11,-4.06,144.07,76.1,92,65,2.35,light rain,0.44,0.8
172,Komsomolskiy,UZ,2020-04-19 18:27:11,40.43,71.72,62.6,33,3,6.93,clear sky,0.0,0.8
173,Khash,IR,2020-04-19 18:27:11,28.22,61.22,67.86,31,95,3.83,overcast clouds,0.0,0.8
174,New Norfolk,AU,2020-04-19 18:22:05,-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.8
175,La Palma,US,2020-04-19 18:27:12,33.85,-118.05,64.99,63,90,4.7,overcast clouds,0.0,0.8
176,Flin Flon,CA,2020-04-19 18:22:34,54.77,-101.86,41.0,52,75,24.16,light shower snow,0.0,0.8
177,Mesaria,GR,2020-04-19 18:27:12,36.4,25.45,60.8,55,20,5.82,few clouds,0.0,0.8
178,Alugan,PH,2020-04-19 18:27:14,12.22,125.48,81.54,84,41,13.18,light rain,0.29,0.8
179,Comodoro Rivadavia,AR,2020-04-19 18:24:39,-45.87,-67.5,62.6,29,20,28.86,few clouds,0.0,0.8
180,Ribeira Grande,PT,2020-04-19 18:20:36,38.52,-28.7,60.8,55,20,20.8,few clouds,0.0,0.8
181,Charlottesville,US,2020-04-19 18:27:14,38.03,-78.48,66.0,36,1,16.11,clear sky,0.0,0.8
182,Isugod,PH,2020-04-19 18:27:15,9.34,118.12,81.23,76,21,2.51,few clouds,0.0,0.8
183,Rapid Valley,US,2020-04-19 18:27:15,44.06,-103.15,37.99,86,90,8.05,light rain,0.0,0.8
184,Belmonte,BR,2020-04-19 18:27:15,-15.86,-38.88,73.4,94,75,9.17,light rain,0.0,0.8
