,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3 hrs),Snow inches (last 3 hrs)
185,San Cristobal,VE,2020-04-19 18:25:43,7.77,-72.22,93.2,38,40,5.82,smoke,0.0,0.8
186,Sisimiut,GL,2020-04-19 18:22:43,66.94,-53.67,26.28,97,98,32.21,snow,0.0,4.58
187,Hami,CN,2020-04-19 18:22:43,42.8,93.45,61.9,18,99,17.94,overcast clouds,0.0,4.58
188,Sept-Iles,CA,2020-04-19 18:23:02,50.2,-66.38,35.01,69,75,17.22,broken clouds,0.0,4.58
189,Nokaneng,BW,2020-04-19 18:22:39,-19.67,22.27,76.91,28,85,8.01,overcast clouds,0.0,4.58
190,Geraldton,AU,2020-04-19 18:20:31,-28.77,114.6,57.2,87,35,8.05,scattered clouds,0.0,4.58
191,Lata,PT,2020-04-19 18:27:18,40.16,-8.33,61.0,70,9,8.01,clear sky,0.0,4.58
192,Vikhorevka,RU,2020-04-19 18:27:18,56.12,101.16,24.8,35,0,4.47,clear sky,0.0,4.58
193,Ahipara,NZ,2020-04-19 18:25:01,-35.17,173.17,60.31,86,100,5.93,light rain,1.34,4.58
194,Laguna,US,2020-04-19 18:23:35,38.42,-121.42,63.0,59,75,8.05,broken clouds,0.0,4.58
195,Ahero,KE,2020-04-19 18:27:19,-0.17,34.92,68.05,60,66,1.23,light rain,2.98,4.58
196,Tsaratanana,MG,2020-04-19 18:27:19,-16.78,47.65,75.9,58,70,10.78,broken clouds,0.0,4.58
197,Filingue,NE,2020-04-19 18:27:19,14.35,3.32,95.59,13,78,2.86,broken clouds,0.0,4.58
198,Chongwe,ZM,2020-04-19 18:27:20,-15.33,28.68,66.2,68,32,3.36,scattered clouds,0.0,4.58
199,Alihe,CN,2020-04-19 18:27:20,50.57,123.72,25.81,81,100,11.36,overcast clouds,0.0,4.58
200,Amga,RU,2020-04-19 18:27:20,60.9,131.96,6.22,91,20,2.68,few clouds,0.0,4.58
201,Estevan,CA,2020-04-19 18:27:20,49.13,-102.98,50.0,34,1,21.92,clear sky,0.0,4.58
202,Gao,ML,2020-04-19 18:25:40,16.64,1.64,96.48,10,29,4.38,scattered clouds,0.0,4.58
203,Kontagora,NG,2020-04-19 18:27:21,10.4,5.47,95.22,26,60,4.94,broken clouds,0.0,4.58
204,Fortuna,US,2020-04-19 18:21:07,40.6,-124.16,57.99,71,75,4.54,broken clouds,0.0,4.58
205,Kampot,KH,2020-04-19 18:27:21,10.62,104.18,81.86,79,80,4.25,light rain,0.12,4.58
206,Dogondoutchi,NE,2020-04-19 18:27:22,13.64,4.03,97.59,14,86,5.06,overcast clouds,0.0,4.58
207,Tiznit,MA,2020-04-19 18:27:22,29.58,-9.5,58.03,64,81,19.37,light rain,0.17,4.58
208,General Cepeda,MX,2020-04-19 18:27:23,25.38,-101.45,80.6,39,75,6.93,broken clouds,0.0,4.58
209,Concepcion,CL,2020-04-19 18:27:23,-36.83,-73.05,68.0,49,97,13.87,overcast clouds,0.0,4.58
210,Rafai,CF,2020-04-19 18:27:23,4.95,23.92,77.9,56,94,4.45,light rain,0.22,4.58
211,Kutum,SD,2020-04-19 18:27:23,14.2,24.67,77.22,11,36,12.82,scattered clouds,0.0,4.58
212,Kenai,US,2020-04-19 18:27:24,60.55,-151.26,42.8,93,90,2.89,overcast clouds,0.0,4.58
213,Half Moon Bay,US,2020-04-19 18:27:24,37.46,-122.43,62.01,76,90,5.82,overcast clouds,0.0,4.58
214,Arzgir,RU,2020-04-19 18:27:24,45.37,44.22,54.05,77,69,3.42,light rain,1.69,4.58
215,Cockburn Town,TC,2020-04-19 18:27:25,21.46,-71.14,78.55,79,16,14.18,few clouds,0.0,4.58
216,Rio Gallegos,AR,2020-04-19 18:27:25,-51.62,-69.22,50.0,66,75,38.03,broken clouds,0.0,4.58
217,Marawi,PH,2020-04-19 18:27:25,8.0,124.29,67.96,73,80,2.46,broken clouds,0.0,4.58
218,Sovetskiy,RU,2020-04-19 18:27:26,61.36,63.58,36.77,80,25,7.18,scattered clouds,0.0,4.58
219,Hobyo,SO,2020-04-19 18:20:53,5.35,48.53,85.42,70,91,11.36,overcast clouds,0.0,4.58
220,Bunia,CD,2020-04-19 18:27:26,1.57,30.25,64.56,68,89,2.26,light rain,0.74,4.58
221,Visby,SE,2020-04-19 18:27:26,57.64,18.3,44.01,60,0,2.24,clear sky,0.0,4.58
222,Panjab,AF,2020-04-19 18:27:27,34.39,67.02,34.25,32,100,1.99,light snow,0.0,0.57
223,Nelson Bay,AU,2020-04-19 18:24:48,-32.72,152.15,55.99,93,14,6.93,few clouds,0.0,0.57
224,Gigmoto,PH,2020-04-19 18:27:27,13.78,124.39,81.43,80,84,11.23,broken clouds,0.0,0.57
225,Dingle,PH,2020-04-19 18:23:28,11.0,122.67,80.31,80,90,7.54,overcast clouds,0.0,0.57
226,Popondetta,PG,2020-04-19 18:27:28,-8.75,148.25,76.08,81,28,3.38,light rain,0.14,0.57
227,Alofi,NU,2020-04-19 18:27:28,-19.06,-169.92,75.2,94,32,2.24,scattered clouds,0.0,0.57
228,Itoman,JP,2020-04-19 18:27:28,26.12,127.67,75.2,88,75,17.22,broken clouds,0.0,0.57
229,Cherskiy,RU,2020-04-19 18:25:27,68.75,161.3,-0.9,93,99,6.55,overcast clouds,0.0,0.57
230,Ust-Barguzin,RU,2020-04-19 18:27:29,53.45,108.98,20.68,86,41,4.74,scattered clouds,0.0,0.57
231,Havre-Saint-Pierre,CA,2020-04-19 18:24:02,50.23,-63.6,35.6,51,1,17.22,clear sky,0.0,0.57
232,Vila Franca Do Campo,PT,2020-04-19 18:24:24,37.72,-25.43,60.8,72,40,32.21,scattered clouds,0.0,0.57
233,Kanturk,IE,2020-04-19 18:27:30,52.17,-8.9,54.0,93,90,9.17,overcast clouds,0.0,0.57
234,Kruisfontein,ZA,2020-04-19 18:25:25,-34.0,24.73,75.02,40,31,8.19,scattered clouds,0.0,0.57
235,Chokurdakh,RU,2020-04-19 18:25:23,70.63,147.92,6.24,95,100,9.69,overcast clouds,0.0,0.57
236,Vila Velha,BR,2020-04-19 18:25:50,-20.33,-40.29,79.0,65,40,14.99,scattered clouds,0.0,0.57
237,Poum,NC,2020-04-19 18:27:32,-20.23,164.02,79.3,80,70,11.95,moderate rain,3.05,0.57
238,Pakxe,LA,2020-04-19 18:27:32,15.12,105.78,81.1,67,28,3.42,scattered clouds,0.0,0.57
239,Avarua,CK,2020-04-19 18:20:29,-21.21,-159.78,80.6,74,13,4.7,few clouds,0.0,0.57
240,Quatre Cocos,MU,2020-04-19 18:27:32,-20.21,57.76,77.0,83,75,9.17,broken clouds,0.0,0.57
241,Dunedin,NZ,2020-04-19 18:23:08,-45.87,170.5,52.0,57,33,11.5,scattered clouds,0.0,0.57
242,Rio Tinto,PT,2020-04-19 18:25:38,41.18,-8.56,63.0,77,40,9.17,scattered clouds,0.0,0.57
243,Solnechnyy,RU,2020-04-19 18:25:42,50.72,136.63,36.54,72,100,2.35,overcast clouds,0.0,0.57
244,Pendleton,US,2020-04-19 18:27:33,45.67,-118.79,60.8,41,40,10.29,scattered clouds,0.0,0.57
245,Berlevag,NO,2020-04-19 18:27:34,70.86,29.09,33.8,90,75,11.41,broken clouds,0.0,0.57
246,Fukue,JP,2020-04-19 18:27:34,32.69,128.84,62.02,84,89,27.29,overcast clouds,0.0,0.57
247,Pandan,PH,2020-04-19 18:27:34,14.05,124.17,80.98,79,82,10.69,broken clouds,0.0,0.57
248,Bokoro,TD,2020-04-19 18:27:35,12.38,17.06,92.46,9,27,8.66,scattered clouds,0.0,0.57
249,Caravelas,BR,2020-04-19 18:22:45,-17.71,-39.25,77.41,76,74,19.39,light rain,0.18,0.57
250,Sokoto,NG,2020-04-19 18:27:35,13.06,5.24,95.0,16,84,0.76,broken clouds,0.0,0.57
251,Never,FR,2020-04-19 18:27:35,46.99,3.16,64.4,77,90,4.7,overcast clouds,0.0,0.57
252,Tilik,PH,2020-04-19 18:27:36,13.81,120.2,82.45,76,89,9.28,overcast clouds,0.0,0.57
253,Tuatapere,NZ,2020-04-19 18:23:51,-46.13,167.68,44.01,82,88,5.01,light rain,0.26,0.57
254,Sterlibashevo,RU,2020-04-19 18:27:36,53.44,55.26,41.7,60,100,1.7,overcast clouds,0.0,0.57
255,Port Elizabeth,ZA,2020-04-19 18:20:46,-33.92,25.57,71.6,73,2,9.57,clear sky,0.0,0.57
256,Benjamin Aceval,PY,2020-04-19 18:27:37,-24.97,-57.57,89.6,43,0,9.17,clear sky,0.0,0.57
257,General Roca,AR,2020-04-19 18:27:37,-39.03,-67.58,75.2,23,81,3.36,broken clouds,0.0,0.57
258,Dawei,MM,2020-04-19 18:27:38,14.08,98.2,77.52,77,36,4.47,light rain,2.17,0.57
259,Vardo,NO,2020-04-19 18:25:54,70.37,31.11,35.6,93,75,14.99,broken clouds,0.0,0.57
260,Tupik,RU,2020-04-19 18:27:38,54.43,119.93,12.45,81,98,11.48,overcast clouds,0.0,0.57
261,Wattegama,LK,2020-04-19 18:27:38,6.8,81.48,77.5,85,97,0.96,overcast clouds,0.0,0.57
262,Peniche,PT,2020-04-19 18:27:39,39.36,-9.38,60.01,76,7,8.01,clear sky,0.0,0.57
263,Aitape,PG,2020-04-19 18:27:39,-3.14,142.35,79.66,82,33,2.08,light rain,0.25,0.57
264,Shenzhen,CN,2020-04-19 18:27:39,22.55,114.07,77.0,97,58,1.01,broken clouds,0.0,0.57
265,Bilibino,RU,2020-04-19 18:27:39,68.05,166.44,-3.08,77,99,0.81,overcast clouds,0.0,0.57
266,Karlskrona,SE,2020-04-19 18:23:50,56.16,15.59,46.4,45,0,8.05,clear sky,0.0,0.57
267,Ambikapur,IN,2020-04-19 18:25:03,23.12,83.2,81.36,23,65,3.11,broken clouds,0.0,0.57
268,Pevek,RU,2020-04-19 18:24:49,69.7,170.31,4.23,94,100,5.55,light snow,0.0,0.2
269,Nauta,PE,2020-04-19 18:27:40,-4.51,-73.58,90.14,44,52,3.83,broken clouds,0.0,0.2
270,Lejanias,CO,2020-04-19 18:27:41,3.53,-74.02,79.34,58,72,3.4,moderate rain,4.1,0.2
271,Hithadhoo,MV,2020-04-19 18:25:33,-0.6,73.08,85.21,74,36,11.39,scattered clouds,0.0,0.2
272,Ko Samui,TH,2020-04-19 18:27:41,9.54,99.94,84.25,74,5,12.33,clear sky,0.0,0.2
273,Petropavlovsk-Kamchatskiy,RU,2020-04-19 18:25:21,53.05,158.65,23.0,45,29,6.71,scattered clouds,0.0,0.2
274,Port-Cartier,CA,2020-04-19 18:27:42,50.03,-66.87,36.0,69,75,17.22,broken clouds,0.0,0.2
275,Port Hardy,CA,2020-04-19 18:27:42,50.7,-127.42,48.2,93,90,4.7,overcast clouds,0.0,0.2
276,Katsuura,JP,2020-04-19 18:24:50,35.13,140.3,51.01,79,98,1.01,overcast clouds,0.0,0.2
277,Bilma,NE,2020-04-19 18:27:42,18.69,12.92,90.0,10,9,3.53,clear sky,0.0,0.2
278,Canavieiras,BR,2020-04-19 18:27:43,-15.68,-38.95,79.23,83,84,9.95,light rain,0.91,0.2
279,Manali,IN,2020-04-19 18:27:43,13.17,80.27,86.0,79,20,6.93,few clouds,0.0,0.2
280,Jacareacanga,BR,2020-04-19 18:23:28,-6.22,-57.75,76.73,86,100,1.88,light rain,1.03,0.2
281,Syasstroy,RU,2020-04-19 18:27:43,60.14,32.57,34.54,88,27,7.16,scattered clouds,0.0,0.2
282,Talaya,RU,2020-04-19 18:27:43,61.38,152.75,-5.24,82,100,2.84,light snow,0.0,0.21
283,Lano,NG,2020-04-19 18:27:44,10.17,11.47,97.83,10,31,6.67,scattered clouds,0.0,0.21
284,Padrauna,IN,2020-04-19 18:27:44,26.9,83.98,81.34,34,89,10.36,overcast clouds,0.0,0.21
285,Stromness,GB,2020-04-19 18:27:44,58.97,-3.3,46.4,75,0,18.34,clear sky,0.0,0.21
286,Isangel,VU,2020-04-19 18:27:44,-19.55,169.27,78.89,84,100,16.4,light rain,1.16,0.21
287,Nabire,ID,2020-04-19 18:23:46,-3.37,135.48,76.62,80,40,2.84,scattered clouds,0.0,0.21
288,Anadyr,RU,2020-04-19 18:27:45,64.75,177.48,15.8,85,40,4.47,light snow,0.0,0.21
289,Balikpapan,ID,2020-04-19 18:27:45,-1.27,116.83,76.32,86,95,4.94,light rain,2.27,0.21
290,Kudat,MY,2020-04-19 18:27:45,6.88,116.85,82.4,88,75,3.36,broken clouds,0.0,0.21
291,Hovd,MN,2020-04-19 18:27:45,48.01,91.64,38.55,33,0,1.5,clear sky,0.0,0.21
292,Lumphat,KH,2020-04-19 18:27:45,13.49,106.98,75.34,82,99,2.17,light rain,2.07,0.21
293,Kushima,JP,2020-04-19 18:25:57,31.46,131.23,64.4,88,75,17.22,broken clouds,0.0,0.21
294,Kulhudhuffushi,MV,2020-04-19 18:27:46,6.62,73.07,86.58,72,39,8.16,scattered clouds,0.0,0.21
295,Los Llanos De Aridane,ES,2020-04-19 18:27:46,28.66,-17.92,68.0,68,40,14.99,scattered clouds,0.0,0.21
296,Mercedes,AR,2020-04-19 18:27:46,-34.65,-59.43,82.99,48,2,4.0,clear sky,0.0,0.21
297,Saint Stephen,GB,2020-04-19 18:27:47,50.33,-4.9,57.2,71,68,5.82,light rain,0.21,0.21
298,Batagay,RU,2020-04-19 18:25:55,67.63,134.63,0.57,85,85,4.03,overcast clouds,0.0,0.21
299,Bathsheba,BB,2020-04-19 18:27:47,13.22,-59.52,86.0,58,20,19.46,few clouds,0.0,0.21
300,Varnavino,RU,2020-04-19 18:27:47,57.4,45.09,38.26,72,100,2.53,overcast clouds,0.0,0.21
301,Changping,CN,2020-04-19 18:27:48,40.22,116.22,60.01,30,1,29.08,clear sky,0.0,0.21
302,Teya,RU,2020-04-19 18:27:48,60.38,92.63,28.78,91,7,4.47,clear sky,0.0,0.21
303,Shimoda,JP,2020-04-19 18:25:01,34.67,138.95,52.0,90,100,3.0,overcast clouds,0.0,0.21
304,Port-Gentil,GA,2020-04-19 18:27:48,-0.72,8.78,84.2,83,75,4.7,broken clouds,0.0,0.21
305,Harwich,GB,2020-04-19 18:27:48,51.94,1.28,51.01,73,0,4.0,clear sky,0.0,0.21
306,Nouadhibou,MR,2020-04-19 18:27:49,20.93,-17.03,69.8,68,0,23.04,sand,0.0,0.21
307,Mogadishu,SO,2020-04-19 18:27:49,2.04,45.34,84.88,70,99,9.28,overcast clouds,0.0,0.21
308,Touros,BR,2020-04-19 18:24:59,-5.2,-35.46,86.0,70,40,16.11,scattered clouds,0.0,0.21
309,Sao Filipe,CV,2020-04-19 18:25:07,14.9,-24.5,72.03,74,13,23.78,few clouds,0.0,0.21
310,Oxford,GB,2020-04-19 18:27:50,51.75,-1.26,59.0,74,0,13.87,clear sky,0.0,0.21
311,Shache,CN,2020-04-19 18:27:51,38.42,77.24,58.44,41,88,7.54,overcast clouds,0.0,0.21
312,Mumford,GH,2020-04-19 18:27:51,5.26,-0.76,84.27,73,99,13.8,light rain,0.61,0.21
313,Santa Rosa,PH,2020-04-19 18:27:51,14.31,121.11,84.2,66,40,6.93,scattered clouds,0.0,0.21
314,Derzhavinsk,KZ,2020-04-19 18:27:51,51.1,66.32,55.87,59,93,4.76,overcast clouds,0.0,0.21
315,Maryborough,AU,2020-04-19 18:27:52,-25.53,152.7,66.99,91,10,4.0,clear sky,0.0,0.21
316,Kamenskiy,RU,2020-04-19 18:27:52,50.89,45.49,43.75,56,100,5.35,overcast clouds,0.0,0.21
317,Kedrovyy,RU,2020-04-19 18:27:52,56.17,91.82,32.0,68,0,4.47,clear sky,0.0,0.21
318,Karratha,AU,2020-04-19 18:27:52,-20.74,116.85,84.04,55,99,3.22,overcast clouds,0.0,0.21
319,Birao,CF,2020-04-19 18:27:52,10.28,22.79,87.19,11,94,1.52,overcast clouds,0.0,0.21
320,Waihi Beach,NZ,2020-04-19 18:27:53,-37.4,175.93,62.01,85,98,4.76,light rain,0.0,0.21
321,Kurilsk,RU,2020-04-19 18:25:38,45.23,147.88,35.15,84,0,8.7,clear sky,0.0,0.21
322,Boende,CD,2020-04-19 18:27:53,-0.22,20.87,73.62,86,97,2.57,light rain,2.89,0.21
323,Aquiraz,BR,2020-04-19 18:27:54,-3.9,-38.39,87.8,62,40,8.05,shower rain,0.0,0.21
324,La Ronge,CA,2020-04-19 18:27:54,55.1,-105.28,41.0,44,75,20.8,broken clouds,0.0,0.21
325,Dehloran,IR,2020-04-19 18:27:55,32.69,47.27,77.56,32,12,3.78,few clouds,0.0,0.21
326,Portland,US,2020-04-19 18:26:43,45.52,-122.68,57.99,62,75,6.93,broken clouds,0.0,0.21
327,Oranjemund,NA,2020-04-19 18:27:55,-28.55,16.43,61.5,87,0,1.81,clear sky,0.0,0.21
328,Alta Floresta,BR,2020-04-19 18:27:55,-9.88,-56.09,89.6,66,75,6.93,broken clouds,0.0,0.21
329,Verkhoyansk,RU,2020-04-19 18:27:55,67.54,133.38,1.89,85,84,4.36,broken clouds,0.0,0.21
330,Prince Rupert,CA,2020-04-19 18:23:23,54.32,-130.32,44.6,100,90,4.7,overcast clouds,0.0,0.21
331,Shingu,JP,2020-04-19 18:27:56,33.73,135.98,56.88,84,100,13.15,light rain,1.76,0.21
332,Fenelon Falls,CA,2020-04-19 18:27:56,44.53,-78.75,46.99,87,90,8.05,overcast clouds,0.0,0.21
333,Sorong,ID,2020-04-19 18:27:56,-0.88,131.25,76.8,88,96,0.58,light rain,0.15,0.21
334,Tete,MZ,2020-04-19 18:27:57,-16.16,33.59,80.6,51,27,9.17,scattered clouds,0.0,0.21
335,Lavrentiya,RU,2020-04-19 18:27:57,65.58,-171.0,16.23,91,100,6.91,overcast clouds,0.0,0.21
336,Borogontsy,RU,2020-04-19 18:27:57,62.67,131.17,3.61,88,20,2.66,few clouds,0.0,0.21
337,Rio Grande,BR,2020-04-19 18:24:32,-32.03,-52.1,80.6,57,20,14.99,few clouds,0.0,0.21
338,Kieta,PG,2020-04-19 18:27:58,-6.22,155.63,79.72,77,100,3.89,light rain,1.84,0.21
339,Angoche,MZ,2020-04-19 18:27:58,-16.23,39.91,76.32,87,19,8.63,light rain,0.18,0.21
340,Chumikan,RU,2020-04-19 18:23:06,54.72,135.31,21.22,94,100,9.78,snow,0.0,2.05
341,Westport,US,2020-04-19 18:27:58,41.14,-73.36,59.0,44,1,18.34,clear sky,0.0,2.05
342,Kenitra,MA,2020-04-19 18:24:40,34.26,-6.58,64.99,63,75,13.87,broken clouds,0.0,2.05
343,Hamilton,US,2020-04-19 18:26:37,39.18,-84.53,55.4,66,40,6.93,scattered clouds,0.0,2.05
344,Arraial Do Cabo,BR,2020-04-19 18:22:13,-22.97,-42.03,78.8,65,40,10.29,scattered clouds,0.0,2.05
345,Huarmey,PE,2020-04-19 18:27:59,-10.07,-78.15,80.08,57,7,10.69,clear sky,0.0,2.05
346,Votorantim,BR,2020-04-19 18:27:59,-23.55,-47.44,80.01,41,40,5.82,scattered clouds,0.0,2.05
347,Alyangula,AU,2020-04-19 18:24:41,-13.85,136.42,75.2,100,0,4.54,light rain,0.16,2.05
348,Torbay,CA,2020-04-19 18:28:00,47.67,-52.73,33.01,96,90,32.21,snow,0.0,2.05
349,Champerico,GT,2020-04-19 18:28:00,14.3,-91.92,89.6,55,75,6.93,haze,0.0,2.05
350,Shiraz,IR,2020-04-19 18:28:00,29.6,52.54,64.4,52,75,4.7,broken clouds,0.0,2.05
351,Obihiro,JP,2020-04-19 18:28:00,42.92,143.2,34.39,86,53,1.41,broken clouds,0.0,2.05
352,Mana,GF,2020-04-19 18:28:01,5.66,-53.78,81.39,82,84,10.2,moderate rain,4.42,2.05
353,Okha,RU,2020-04-19 18:28:01,53.57,142.95,28.71,98,100,14.81,light snow,0.0,1.16
354,Guerrero Negro,MX,2020-04-19 18:28:01,27.98,-114.06,65.89,60,63,15.1,broken clouds,0.0,1.16
355,Ambalema,CO,2020-04-19 18:28:01,4.78,-74.76,84.2,66,40,8.05,scattered clouds,0.0,1.16
356,Lompoc,US,2020-04-19 18:25:21,34.64,-120.46,62.6,59,75,5.82,broken clouds,0.0,1.16
357,Mingguang,CN,2020-04-19 18:28:02,32.78,117.96,53.1,82,98,6.17,overcast clouds,0.0,1.16
358,Sao Pedro Da Aldeia,BR,2020-04-19 18:28:02,-22.84,-42.1,78.8,78,40,8.05,scattered clouds,0.0,1.16
359,Sechelt,CA,2020-04-19 18:28:02,49.47,-123.77,50.95,85,97,6.24,light rain,0.42,1.16
360,Great Yarmouth,GB,2020-04-19 18:28:02,52.61,1.73,50.0,81,0,11.99,clear sky,0.0,1.16
361,Itaueira,BR,2020-04-19 18:28:02,-7.6,-43.03,83.35,70,35,6.35,light rain,1.12,1.16
362,Marystown,CA,2020-04-19 18:28:03,47.17,-55.15,35.44,93,100,38.59,moderate rain,10.14,1.16
363,Santiago,CL,2020-04-19 18:27:03,-33.46,-70.65,84.0,30,0,5.82,clear sky,0.0,1.16
364,Alibag,IN,2020-04-19 18:28:03,18.64,72.88,87.8,70,3,3.78,haze,0.0,1.16
365,Manoharpur,IN,2020-04-19 18:28:03,27.3,75.95,86.0,22,40,4.7,haze,0.0,1.16
366,Lagunas,PE,2020-04-19 18:28:04,-5.23,-75.68,91.02,35,0,4.38,clear sky,0.0,1.16
367,Manuk Mangkaw,PH,2020-04-19 18:28:04,4.8,119.85,83.7,73,34,4.38,light rain,0.21,1.16
368,Cabedelo,BR,2020-04-19 18:28:07,-6.98,-34.83,84.2,79,20,11.41,few clouds,0.0,1.16
369,Gualaquiza,EC,2020-04-19 18:28:07,-3.4,-78.55,81.66,28,76,1.32,broken clouds,0.0,1.16
